year,avg_temp,Global MA,year,avg_temp,Virginia Beach MA,,,Correlation Coefficient,,,,Global overall average,
1750,8.72,,1750,16.07,,,,0.588550471,,,,8.359393939,
1751,7.98,,1751,16.57,,,,,,,,VB overall average,
1752,5.78,,1752,10.61,,,,,,,,15.65224335,
1753,8.39,,1753,15.66,,,,,,,,,
1754,8.47,,1754,16.09,,,,,,,,9.67,17.33
1755,8.36,,1755,13.41,,,,,,,,,
1756,8.85,,1756,16.39,,,,,,,,,
1757,9.02,,1757,15.19,,,,,,,,,
1758,6.74,,1758,14.23,,,,,,,,,
1759,7.99,8.03,1759,15.18,14.94,,,,,,,,
1760,7.19,7.877,1760,14.02,14.735,,,,,,,,
1761,8.77,7.956,1761,16.17,14.695,,,,,,,,
1762,8.61,8.239,1762,15.55,15.189,,,,,,,,
1763,7.5,8.15,1763,13.62,14.985,,,,,,,,
1764,8.4,8.143,1764,16.02,14.978,,,,,,,,
1765,8.25,8.132,1765,15.39,15.176,,,,,,,,
1766,8.41,8.088,1766,16.17,15.154,,,,,,,,
1767,8.22,8.008,1767,14.99,15.134,,,,,,,,
1768,6.78,8.012,1768,14.63,15.174,,,,,,,,
1769,7.69,7.982,1769,15.3,15.186,,,,,,,,
1770,7.69,8.032,1770,15.19,15.303,,,,,,,,
1771,7.85,7.94,1771,16.29,15.315,,,,,,,,
1772,8.19,7.898,1772,15.84,15.344,,,,,,,,
1773,8.22,7.97,1773,16.12,15.594,,,,,,,,
1774,8.77,8.007,1774,15.83,15.575,,,,,,,,
1775,9.18,8.1,1775,16.41,15.677,,,,,,,,
1776,8.3,8.089,1776,15.52,15.612,,,,,,,,
1777,8.26,8.093,1777,15.03,15.616,,,,,,,,
1778,8.54,8.269,1778,13.63,15.516,,,,,,,,
1779,8.98,8.398,1779,8.76,14.862,,,,,,,,
1780,9.43,8.572,1780,,14.82555556,,,,,,,,
1781,8.1,8.597,1781,15.85,14.77666667,,,,,,,,
1782,7.9,8.568,1782,15.31,14.71777778,,,,,,,,
1783,7.68,8.514,1783,15.01,14.59444444,,,,,,,,
1784,7.86,8.423,1784,14.79,14.47888889,,,,,,,,
1785,7.36,8.241,1785,14.73,14.29222222,,,,,,,,
1786,8.26,8.237,1786,15.25,14.26222222,,,,,,,,
1787,8.03,8.214,1787,15.26,14.28777778,,,,,,,,
1788,8.45,8.205,1788,15.91,14.54111111,,,,,,,,
1789,8.33,8.14,1789,15.61,15.30222222,,,,,,,,
1790,7.98,7.995,1790,15.54,15.326,,,,,,,,
1791,8.23,8.008,1791,15.63,15.304,,,,,,,,
1792,8.09,8.027,1792,15.05,15.278,,,,,,,,
1793,8.23,8.082,1793,15.92,15.369,,,,,,,,
1794,8.53,8.149,1794,15.95,15.485,,,,,,,,
1795,8.35,8.248,1795,15.5,15.562,,,,,,,,
1796,8.27,8.249,1796,15.25,15.562,,,,,,,,
1797,8.51,8.297,1797,15.22,15.558,,,,,,,,
1798,8.67,8.319,1798,16.06,15.573,,,,,,,,
1799,8.51,8.337,1799,15.62,15.574,,,,,,,,
1800,8.48,8.387,1800,15.65,15.585,,,,,,,,
1801,8.59,8.423,1801,16.04,15.626,,,,,,,,
1802,8.58,8.472,1802,16.32,15.753,,,,,,,,
1803,8.5,8.499,1803,16.18,15.779,,,,,,,,
1804,8.84,8.53,1804,15.95,15.779,,,,,,,,
1805,8.56,8.551,1805,16.4,15.869,,,,,,,,
1806,8.43,8.567,1806,15.61,15.905,,,,,,,,
1807,8.28,8.544,1807,15.4,15.923,,,,,,,,
1808,7.63,8.44,1808,15.57,15.874,,,,,,,,
1809,7.08,8.297,1809,14.82,15.794,,,,,,,,
1810,6.92,8.141,1810,15.16,15.745,,,,,,,,
1811,6.86,7.968,1811,15.28,15.669,,,,,,,,
1812,7.05,7.815,1812,14.06,15.443,,,,,,,,
1813,7.74,7.739,1813,15.07,15.332,,,,,,,,
1814,7.59,7.614,1814,14.81,15.218,,,,,,,,
1815,7.24,7.482,1815,14.51,15.029,,,,,,,,
1816,6.94,7.333,1816,14.16,14.884,,,,,,,,
1817,6.98,7.203,1817,14.07,14.751,,,,,,,,
1818,7.83,7.223,1818,14.5,14.644,,,,,,,,
1819,7.37,7.252,1819,15.09,14.671,,,,,,,,
1820,7.62,7.322,1820,15.12,14.667,,,,,,,,
1821,8.09,7.445,1821,14.66,14.605,,,,,,,,
1822,8.19,7.559,1822,15.99,14.798,,,,,,,,
1823,7.72,7.557,1823,15.11,14.802,,,,,,,,
1824,8.55,7.653,1824,15.81,14.902,,,,,,,,
1825,8.39,7.768,1825,16.25,15.076,,,,,,,,
1826,8.36,7.91,1826,16.1,15.27,,,,,,,,
1827,8.81,8.093,1827,16.02,15.465,,,,,,,,
1828,8.17,8.127,1828,17.38,15.753,,,,,,,,
1829,7.94,8.184,1829,15.4,15.784,,,,,,,,
1830,8.52,8.274,1830,16.85,15.957,,,,,,,,
1831,7.64,8.229,1831,15.13,16.004,,,,,,,,
1832,7.45,8.155,1832,15.51,15.956,,,,,,,,
1833,8.01,8.184,1833,15.62,16.007,,,,,,,,
1834,8.15,8.144,1834,15.97,16.023,,,,,,,,
1835,7.39,8.044,1835,15.36,15.934,,,,,,,,
1836,7.7,7.978,1836,14.42,15.766,,,,,,,,
1837,7.38,7.835,1837,15.2,15.684,,,,,,,,
1838,7.51,7.769,1838,15.5,15.496,,,,,,,,
1839,7.63,7.738,1839,15.59,15.515,,,,,,,,
1840,7.8,7.666,1840,15.74,15.404,,,,,,,,
1841,7.69,7.671,1841,15.27,15.418,,,,,,,,
1842,8.02,7.728,1842,15.68,15.435,,,,,,,,
1843,8.17,7.744,1843,14.88,15.361,,,,,,,,
1844,7.65,7.694,1844,15.46,15.31,,,,,,,,
1845,7.85,7.74,1845,15.59,15.333,,,,,,,,
1846,8.55,7.825,1846,15.84,15.475,,,,,,,,
1847,8.09,7.896,1847,15.45,15.5,,,,,,,,
1848,7.98,7.943,1848,15.53,15.503,,,,,,,,
1849,7.98,7.978,1849,15.07,15.451,,,,,,,,
1850,7.9,7.988,1850,15.48,15.425,,,,,,,,
1851,8.18,8.037,1851,15.62,15.46,,,,,,,,
1852,8.1,8.045,1852,15.38,15.43,,,,,,,,
1853,8.04,8.032,1853,15.9,15.532,,,,,,,,
1854,8.21,8.088,1854,15.97,15.583,,,,,,,,
1855,8.11,8.114,1855,15.66,15.59,,,,,,,,
1856,8,8.059,1856,14.61,15.467,,,,,,,,
1857,7.76,8.026,1857,14.83,15.405,,,,,,,,
1858,8.1,8.038,1858,15.46,15.398,,,,,,,,
1859,8.25,8.065,1859,15.55,15.446,,,,,,,,
1860,7.96,8.071,1860,15.61,15.459,,,,,,,,
1861,7.85,8.038,1861,15.7,15.467,,,,,,,,
1862,7.56,7.984,1862,15.46,15.475,,,,,,,,
1863,8.11,7.991,1863,15.41,15.426,,,,,,,,
1864,7.98,7.968,1864,15.44,15.373,,,,,,,,
1865,8.18,7.975,1865,15.88,15.395,,,,,,,,
1866,8.29,8.004,1866,15.46,15.48,,,,,,,,
1867,8.44,8.072,1867,14.95,15.492,,,,,,,,
1868,8.25,8.087,1868,14.61,15.407,,,,,,,,
1869,8.43,8.105,1869,15.43,15.395,,,,,,,,
1870,8.2,8.129,1870,15.93,15.427,,,,,,,,
1871,8.12,8.156,1871,15.85,15.442,,,,,,,,
1872,8.19,8.219,1872,14.76,15.372,,,,,,,,
1873,8.35,8.243,1873,15.06,15.337,,,,,,,,
1874,8.43,8.288,1874,15.51,15.344,,,,,,,,
1875,7.86,8.256,1875,14.75,15.231,,,,,,,,
1876,8.08,8.235,1876,15.4,15.225,,,,,,,,
1877,8.54,8.245,1877,15.65,15.295,,,,,,,,
1878,8.83,8.303,1878,15.88,15.422,,,,,,,,
1879,8.17,8.277,1879,15.48,15.427,,,,,,,,
1880,8.12,8.269,1880,16.17,15.451,,,,,,,,
1881,8.27,8.284,1881,15.94,15.46,,,,,,,,
1882,8.13,8.278,1882,15.53,15.537,,,,,,,,
1883,7.98,8.241,1883,15.33,15.564,,,,,,,,
1884,7.77,8.175,1884,15.76,15.589,,,,,,,,
1885,7.92,8.181,1885,14.88,15.602,,,,,,,,
1886,7.95,8.168,1886,14.88,15.55,,,,,,,,
1887,7.91,8.105,1887,15.46,15.531,,,,,,,,
1888,8.09,8.031,1888,15.04,15.447,,,,,,,,
1889,8.32,8.046,1889,15.5,15.449,,,,,,,,
1890,7.97,8.031,1890,16.42,15.474,,,,,,,,
1891,8.02,8.006,1891,15.64,15.444,,,,,,,,
1892,8.07,8,1892,14.92,15.383,,,,,,,,
1893,8.06,8.008,1893,15.06,15.356,,,,,,,,
1894,8.16,8.047,1894,16.12,15.392,,,,,,,,
1895,8.15,8.07,1895,14.98,15.402,,,,,,,,
1896,8.21,8.096,1896,15.67,15.481,,,,,,,,
1897,8.29,8.134,1897,15.77,15.512,,,,,,,,
1898,8.18,8.143,1898,15.96,15.604,,,,,,,,
1899,8.4,8.151,1899,15.45,15.599,,,,,,,,
1900,8.5,8.204,1900,16.26,15.583,,,,,,,,
1901,8.54,8.256,1901,15.06,15.525,,,,,,,,
1902,8.3,8.279,1902,15.5,15.583,,,,,,,,
1903,8.22,8.295,1903,15.45,15.622,,,,,,,,
1904,8.09,8.288,1904,14.39,15.449,,,,,,,,
1905,8.23,8.296,1905,15.26,15.477,,,,,,,,
1906,8.38,8.313,1906,15.98,15.508,,,,,,,,
1907,7.95,8.279,1907,15.03,15.434,,,,,,,,
1908,8.19,8.28,1908,15.85,15.423,,,,,,,,
1909,8.18,8.258,1909,15.57,15.435,,,,,,,,
1910,8.22,8.23,1910,15.42,15.351,,,,,,,,
1911,8.18,8.194,1911,16.26,15.471,,,,,,,,
1912,8.17,8.181,1912,15.63,15.484,,,,,,,,
1913,8.3,8.189,1913,16.51,15.59,,,,,,,,
1914,8.59,8.239,1914,15.31,15.682,,,,,,,,
1915,8.59,8.275,1915,15.56,15.712,,,,,,,,
1916,8.23,8.26,1916,15.55,15.669,,,,,,,,
1917,8.02,8.267,1917,14.38,15.604,,,,,,,,
1918,8.13,8.261,1918,15.45,15.564,,,,,,,,
1919,8.38,8.281,1919,15.92,15.599,,,,,,,,
1920,8.36,8.295,1920,15.12,15.569,,,,,,,,
1921,8.57,8.334,1921,16.81,15.624,,,,,,,,
1922,8.41,8.358,1922,16.16,15.677,,,,,,,,
1923,8.42,8.37,1923,15.79,15.605,,,,,,,,
1924,8.51,8.362,1924,15.13,15.587,,,,,,,,
1925,8.53,8.356,1925,16.13,15.644,,,,,,,,
1926,8.73,8.406,1926,15.54,15.643,,,,,,,,
1927,8.52,8.456,1927,15.85,15.79,,,,,,,,
1928,8.63,8.506,1928,15.7,15.815,,,,,,,,
1929,8.24,8.492,1929,16.12,15.835,,,,,,,,
1930,8.63,8.519,1930,16.07,15.93,,,,,,,,
1931,8.72,8.534,1931,16.4,15.889,,,,,,,,
1932,8.71,8.564,1932,16.69,15.942,,,,,,,,
1933,8.34,8.556,1933,16.87,16.05,,,,,,,,
1934,8.63,8.568,1934,15.91,16.128,,,,,,,,
1935,8.52,8.567,1935,15.71,16.086,,,,,,,,
1936,8.55,8.549,1936,15.88,16.12,,,,,,,,
1937,8.7,8.567,1937,15.94,16.129,,,,,,,,
1938,8.86,8.59,1938,16.55,16.214,,,,,,,,
1939,8.76,8.642,1939,16.74,16.276,,,,,,,,
1940,8.76,8.655,1940,14.96,16.165,,,,,,,,
1941,8.77,8.66,1941,16.05,16.13,,,,,,,,
1942,8.73,8.662,1942,16.23,16.084,,,,,,,,
1943,8.76,8.704,1943,15.84,15.981,,,,,,,,
1944,8.85,8.726,1944,15.88,15.978,,,,,,,,
1945,8.58,8.732,1945,16.31,16.038,,,,,,,,
1946,8.68,8.745,1946,16.48,16.098,,,,,,,,
1947,8.8,8.755,1947,15.63,16.067,,,,,,,,
1948,8.75,8.744,1948,16.06,16.018,,,,,,,,
1949,8.59,8.727,1949,17.06,16.05,,,,,,,,
1950,8.37,8.688,1950,16.06,16.16,,,,,,,,
1951,8.63,8.674,1951,16.17,16.172,,,,,,,,
1952,8.64,8.665,1952,16.39,16.188,,,,,,,,
1953,8.87,8.676,1953,16.84,16.288,,,,,,,,
1954,8.56,8.647,1954,16.27,16.327,,,,,,,,
1955,8.63,8.652,1955,15.91,16.287,,,,,,,,
1956,8.28,8.612,1956,16.22,16.261,,,,,,,,
1957,8.73,8.605,1957,16.51,16.349,,,,,,,,
1958,8.77,8.607,1958,14.99,16.242,,,,,,,,
1959,8.73,8.621,1959,16.54,16.19,,,,,,,,
1960,8.58,8.642,1960,15.6,16.144,,,,,,,,
1961,8.8,8.659,1961,15.86,16.113,,,,,,,,
1962,8.75,8.67,1962,15.38,16.012,,,,,,,,
1963,8.86,8.669,1963,14.95,15.823,,,,,,,,
1964,8.41,8.654,1964,15.98,15.794,,,,,,,,
1965,8.53,8.644,1965,15.62,15.765,,,,,,,,
1966,8.6,8.676,1966,15.28,15.671,,,,,,,,
1967,8.7,8.673,1967,15.2,15.54,,,,,,,,
1968,8.52,8.648,1968,15.56,15.597,,,,,,,,
1969,8.6,8.635,1969,15.35,15.478,,,,,,,,
1970,8.7,8.647,1970,15.84,15.502,,,,,,,,
1971,8.6,8.627,1971,16.26,15.542,,,,,,,,
1972,8.5,8.602,1972,16.09,15.613,,,,,,,,
1973,8.95,8.611,1973,16.5,15.768,,,,,,,,
1974,8.47,8.617,1974,16.45,15.815,,,,,,,,
1975,8.74,8.638,1975,16.56,15.909,,,,,,,,
1976,8.35,8.613,1976,15.55,15.936,,,,,,,,
1977,8.85,8.628,1977,16.06,16.022,,,,,,,,
1978,8.69,8.645,1978,15.41,16.007,,,,,,,,
1979,8.73,8.658,1979,15.74,16.046,,,,,,,,
1980,8.98,8.686,1980,15.72,16.034,,,,,,,,
1981,9.17,8.743,1981,15.32,15.94,,,,,,,,
1982,8.64,8.757,1982,15.94,15.925,,,,,,,,
1983,9.03,8.765,1983,16.06,15.881,,,,,,,,
1984,8.69,8.787,1984,16.04,15.84,,,,,,,,
1985,8.66,8.779,1985,16.63,15.847,,,,,,,,
1986,8.83,8.827,1986,16.5,15.942,,,,,,,,
1987,8.99,8.841,1987,15.8,15.916,,,,,,,,
1988,9.2,8.892,1988,15.45,15.92,,,,,,,,
1989,8.92,8.911,1989,16.14,15.96,,,,,,,,
1990,9.23,8.936,1990,17.49,16.137,,,,,,,,
1991,9.18,8.937,1991,17.22,16.327,,,,,,,,
1992,8.84,8.957,1992,15.93,16.326,,,,,,,,
1993,8.87,8.941,1993,16.12,16.332,,,,,,,,
1994,9.04,8.976,1994,16.58,16.386,,,,,,,,
1995,9.35,9.045,1995,16.17,16.34,,,,,,,,
1996,9.04,9.066,1996,15.61,16.251,,,,,,,,
1997,9.2,9.087,1997,16.09,16.28,,,,,,,,
1998,9.52,9.119,1998,17.2,16.455,,,,,,,,
1999,9.29,9.156,1999,16.7,16.511,,,,,,,,
2000,9.2,9.153,2000,15.97,16.359,,,,,,,,
2001,9.41,9.176,2001,16.47,16.284,,,,,,,,
2002,9.57,9.249,2002,17.25,16.416,,,,,,,,
2003,9.53,9.315,2003,16.2,16.424,,,,,,,,
2004,9.32,9.343,2004,16.48,16.414,,,,,,,,
2005,9.7,9.378,2005,16.28,16.425,,,,,,,,
2006,9.53,9.427,2006,16.91,16.555,,,,,,,,
2007,9.73,9.48,2007,16.95,16.641,,,,,,,,
2008,9.43,9.471,2008,16.93,16.614,,,,,,,,
2009,9.51,9.493,2009,16.47,16.591,,,,,,,,
2010,9.7,9.543,2010,16.3,16.624,,,,,,,,
2011,9.52,9.554,2011,17.22,16.699,,,,,,,,
2012,9.51,9.548,2012,17.37,16.711,,,,,,,,
2013,9.61,9.556,2013,17.29,16.82,,,,,,,,
2014,9.57,9.581,,,16.85777778,,,,,,,,
2015,9.83,9.594,,,16.93,,,,,,,,
,,9.601111111,,,16.93285714,,,,,,,,
,,9.585,,,16.93,,,,,,,,
,,9.607142857,,,16.93,,,,,,,,
,,9.623333333,,,17.045,,,,,,,,
,,9.608,,,17.29333333,,,,,,,,
,,9.63,,,17.33,,,,,,,,
,,9.67,,,17.29,,,,,,,,
,,9.7,,,,,,,,,,,
,,9.83,,,,,,,,,,,
