year,city,country,avg_temp
1750,Virginia Beach,United States,16.07
1751,Virginia Beach,United States,16.57
1752,Virginia Beach,United States,10.61
1753,Virginia Beach,United States,15.66
1754,Virginia Beach,United States,16.09
1755,Virginia Beach,United States,13.41
1756,Virginia Beach,United States,16.39
1757,Virginia Beach,United States,15.19
1758,Virginia Beach,United States,14.23
1759,Virginia Beach,United States,15.18
1760,Virginia Beach,United States,14.02
1761,Virginia Beach,United States,16.17
1762,Virginia Beach,United States,15.55
1763,Virginia Beach,United States,13.62
1764,Virginia Beach,United States,16.02
1765,Virginia Beach,United States,15.39
1766,Virginia Beach,United States,16.17
1767,Virginia Beach,United States,14.99
1768,Virginia Beach,United States,14.63
1769,Virginia Beach,United States,15.3
1770,Virginia Beach,United States,15.19
1771,Virginia Beach,United States,16.29
1772,Virginia Beach,United States,15.84
1773,Virginia Beach,United States,16.12
1774,Virginia Beach,United States,15.83
1775,Virginia Beach,United States,16.41
1776,Virginia Beach,United States,15.52
1777,Virginia Beach,United States,15.03
1778,Virginia Beach,United States,13.63
1779,Virginia Beach,United States,8.76
1780,Virginia Beach,United States,
1781,Virginia Beach,United States,15.85
1782,Virginia Beach,United States,15.31
1783,Virginia Beach,United States,15.01
1784,Virginia Beach,United States,14.79
1785,Virginia Beach,United States,14.73
1786,Virginia Beach,United States,15.25
1787,Virginia Beach,United States,15.26
1788,Virginia Beach,United States,15.91
1789,Virginia Beach,United States,15.61
1790,Virginia Beach,United States,15.54
1791,Virginia Beach,United States,15.63
1792,Virginia Beach,United States,15.05
1793,Virginia Beach,United States,15.92
1794,Virginia Beach,United States,15.95
1795,Virginia Beach,United States,15.5
1796,Virginia Beach,United States,15.25
1797,Virginia Beach,United States,15.22
1798,Virginia Beach,United States,16.06
1799,Virginia Beach,United States,15.62
1800,Virginia Beach,United States,15.65
1801,Virginia Beach,United States,16.04
1802,Virginia Beach,United States,16.32
1803,Virginia Beach,United States,16.18
1804,Virginia Beach,United States,15.95
1805,Virginia Beach,United States,16.4
1806,Virginia Beach,United States,15.61
1807,Virginia Beach,United States,15.4
1808,Virginia Beach,United States,15.57
1809,Virginia Beach,United States,14.82
1810,Virginia Beach,United States,15.16
1811,Virginia Beach,United States,15.28
1812,Virginia Beach,United States,14.06
1813,Virginia Beach,United States,15.07
1814,Virginia Beach,United States,14.81
1815,Virginia Beach,United States,14.51
1816,Virginia Beach,United States,14.16
1817,Virginia Beach,United States,14.07
1818,Virginia Beach,United States,14.5
1819,Virginia Beach,United States,15.09
1820,Virginia Beach,United States,15.12
1821,Virginia Beach,United States,14.66
1822,Virginia Beach,United States,15.99
1823,Virginia Beach,United States,15.11
1824,Virginia Beach,United States,15.81
1825,Virginia Beach,United States,16.25
1826,Virginia Beach,United States,16.1
1827,Virginia Beach,United States,16.02
1828,Virginia Beach,United States,17.38
1829,Virginia Beach,United States,15.4
1830,Virginia Beach,United States,16.85
1831,Virginia Beach,United States,15.13
1832,Virginia Beach,United States,15.51
1833,Virginia Beach,United States,15.62
1834,Virginia Beach,United States,15.97
1835,Virginia Beach,United States,15.36
1836,Virginia Beach,United States,14.42
1837,Virginia Beach,United States,15.2
1838,Virginia Beach,United States,15.5
1839,Virginia Beach,United States,15.59
1840,Virginia Beach,United States,15.74
1841,Virginia Beach,United States,15.27
1842,Virginia Beach,United States,15.68
1843,Virginia Beach,United States,14.88
1844,Virginia Beach,United States,15.46
1845,Virginia Beach,United States,15.59
1846,Virginia Beach,United States,15.84
1847,Virginia Beach,United States,15.45
1848,Virginia Beach,United States,15.53
1849,Virginia Beach,United States,15.07
1850,Virginia Beach,United States,15.48
1851,Virginia Beach,United States,15.62
1852,Virginia Beach,United States,15.38
1853,Virginia Beach,United States,15.9
1854,Virginia Beach,United States,15.97
1855,Virginia Beach,United States,15.66
1856,Virginia Beach,United States,14.61
1857,Virginia Beach,United States,14.83
1858,Virginia Beach,United States,15.46
1859,Virginia Beach,United States,15.55
1860,Virginia Beach,United States,15.61
1861,Virginia Beach,United States,15.7
1862,Virginia Beach,United States,15.46
1863,Virginia Beach,United States,15.41
1864,Virginia Beach,United States,15.44
1865,Virginia Beach,United States,15.88
1866,Virginia Beach,United States,15.46
1867,Virginia Beach,United States,14.95
1868,Virginia Beach,United States,14.61
1869,Virginia Beach,United States,15.43
1870,Virginia Beach,United States,15.93
1871,Virginia Beach,United States,15.85
1872,Virginia Beach,United States,14.76
1873,Virginia Beach,United States,15.06
1874,Virginia Beach,United States,15.51
1875,Virginia Beach,United States,14.75
1876,Virginia Beach,United States,15.4
1877,Virginia Beach,United States,15.65
1878,Virginia Beach,United States,15.88
1879,Virginia Beach,United States,15.48
1880,Virginia Beach,United States,16.17
1881,Virginia Beach,United States,15.94
1882,Virginia Beach,United States,15.53
1883,Virginia Beach,United States,15.33
1884,Virginia Beach,United States,15.76
1885,Virginia Beach,United States,14.88
1886,Virginia Beach,United States,14.88
1887,Virginia Beach,United States,15.46
1888,Virginia Beach,United States,15.04
1889,Virginia Beach,United States,15.5
1890,Virginia Beach,United States,16.42
1891,Virginia Beach,United States,15.64
1892,Virginia Beach,United States,14.92
1893,Virginia Beach,United States,15.06
1894,Virginia Beach,United States,16.12
1895,Virginia Beach,United States,14.98
1896,Virginia Beach,United States,15.67
1897,Virginia Beach,United States,15.77
1898,Virginia Beach,United States,15.96
1899,Virginia Beach,United States,15.45
1900,Virginia Beach,United States,16.26
1901,Virginia Beach,United States,15.06
1902,Virginia Beach,United States,15.5
1903,Virginia Beach,United States,15.45
1904,Virginia Beach,United States,14.39
1905,Virginia Beach,United States,15.26
1906,Virginia Beach,United States,15.98
1907,Virginia Beach,United States,15.03
1908,Virginia Beach,United States,15.85
1909,Virginia Beach,United States,15.57
1910,Virginia Beach,United States,15.42
1911,Virginia Beach,United States,16.26
1912,Virginia Beach,United States,15.63
1913,Virginia Beach,United States,16.51
1914,Virginia Beach,United States,15.31
1915,Virginia Beach,United States,15.56
1916,Virginia Beach,United States,15.55
1917,Virginia Beach,United States,14.38
1918,Virginia Beach,United States,15.45
1919,Virginia Beach,United States,15.92
1920,Virginia Beach,United States,15.12
1921,Virginia Beach,United States,16.81
1922,Virginia Beach,United States,16.16
1923,Virginia Beach,United States,15.79
1924,Virginia Beach,United States,15.13
1925,Virginia Beach,United States,16.13
1926,Virginia Beach,United States,15.54
1927,Virginia Beach,United States,15.85
1928,Virginia Beach,United States,15.7
1929,Virginia Beach,United States,16.12
1930,Virginia Beach,United States,16.07
1931,Virginia Beach,United States,16.4
1932,Virginia Beach,United States,16.69
1933,Virginia Beach,United States,16.87
1934,Virginia Beach,United States,15.91
1935,Virginia Beach,United States,15.71
1936,Virginia Beach,United States,15.88
1937,Virginia Beach,United States,15.94
1938,Virginia Beach,United States,16.55
1939,Virginia Beach,United States,16.74
1940,Virginia Beach,United States,14.96
1941,Virginia Beach,United States,16.05
1942,Virginia Beach,United States,16.23
1943,Virginia Beach,United States,15.84
1944,Virginia Beach,United States,15.88
1945,Virginia Beach,United States,16.31
1946,Virginia Beach,United States,16.48
1947,Virginia Beach,United States,15.63
1948,Virginia Beach,United States,16.06
1949,Virginia Beach,United States,17.06
1950,Virginia Beach,United States,16.06
1951,Virginia Beach,United States,16.17
1952,Virginia Beach,United States,16.39
1953,Virginia Beach,United States,16.84
1954,Virginia Beach,United States,16.27
1955,Virginia Beach,United States,15.91
1956,Virginia Beach,United States,16.22
1957,Virginia Beach,United States,16.51
1958,Virginia Beach,United States,14.99
1959,Virginia Beach,United States,16.54
1960,Virginia Beach,United States,15.6
1961,Virginia Beach,United States,15.86
1962,Virginia Beach,United States,15.38
1963,Virginia Beach,United States,14.95
1964,Virginia Beach,United States,15.98
1965,Virginia Beach,United States,15.62
1966,Virginia Beach,United States,15.28
1967,Virginia Beach,United States,15.2
1968,Virginia Beach,United States,15.56
1969,Virginia Beach,United States,15.35
1970,Virginia Beach,United States,15.84
1971,Virginia Beach,United States,16.26
1972,Virginia Beach,United States,16.09
1973,Virginia Beach,United States,16.5
1974,Virginia Beach,United States,16.45
1975,Virginia Beach,United States,16.56
1976,Virginia Beach,United States,15.55
1977,Virginia Beach,United States,16.06
1978,Virginia Beach,United States,15.41
1979,Virginia Beach,United States,15.74
1980,Virginia Beach,United States,15.72
1981,Virginia Beach,United States,15.32
1982,Virginia Beach,United States,15.94
1983,Virginia Beach,United States,16.06
1984,Virginia Beach,United States,16.04
1985,Virginia Beach,United States,16.63
1986,Virginia Beach,United States,16.5
1987,Virginia Beach,United States,15.8
1988,Virginia Beach,United States,15.45
1989,Virginia Beach,United States,16.14
1990,Virginia Beach,United States,17.49
1991,Virginia Beach,United States,17.22
1992,Virginia Beach,United States,15.93
1993,Virginia Beach,United States,16.12
1994,Virginia Beach,United States,16.58
1995,Virginia Beach,United States,16.17
1996,Virginia Beach,United States,15.61
1997,Virginia Beach,United States,16.09
1998,Virginia Beach,United States,17.2
1999,Virginia Beach,United States,16.7
2000,Virginia Beach,United States,15.97
2001,Virginia Beach,United States,16.47
2002,Virginia Beach,United States,17.25
2003,Virginia Beach,United States,16.2
2004,Virginia Beach,United States,16.48
2005,Virginia Beach,United States,16.28
2006,Virginia Beach,United States,16.91
2007,Virginia Beach,United States,16.95
2008,Virginia Beach,United States,16.93
2009,Virginia Beach,United States,16.47
2010,Virginia Beach,United States,16.3
2011,Virginia Beach,United States,17.22
2012,Virginia Beach,United States,17.37
2013,Virginia Beach,United States,17.29
